,0
299.0860388733375,357.80983459577425
346.62270992250933,480.58921213609625
383.7673867517774,589.1096285371532
396.20290469880734,627.9069667670889
425.51625071277607,724.2563184826324
426.65238007791464,728.1290137045972
442.77082336376986,784.1840080889228
451.19837085965526,814.319879465628
484.4236088646947,938.6649313019789
512.3374752266565,1049.9587540864995
556.8802955762948,1240.462654404566
561.9113459445764,1262.9774428049814
573.3936761735254,1315.1212315031587
641.0643503347535,1643.8540050804781
708.5407225306526,2008.119821937037
