unix date,volume,fees
"1665964800","24446547.413601186","73339.64224080356"
"1665878400","20927496.787660856","62782.49036298257"
"1665792000","12386429.549583275","37159.288648749825"
"1665705600","62460259.952607684","187380.77985782304"
"1665619200","78589466.10665064","235768.39831995193"
"1665532800","13967927.513949078","41903.782541847235"
"1665446400","36947370.323185235","110842.1109695557"
"1665360000","24510134.420300893","73530.40326090268"
"1665273600","7675898.98472142","23027.69695416426"
"1665187200","9920860.884512156","29762.58265353647"
"1665100800","30187656.095983855","90562.96828795156"
"1665014400","58333126.84417617","174999.38053252854"
"1664928000","33945599.5687541","101836.79870626231"
"1664841600","35969018.90829395","107907.05672488186"
"1664755200","39107908.90288013","117323.7267086404"
"1664668800","24190792.15655423","72572.37646966269"
"1664582400","17102567.232551407","51307.70169765422"
"1664496000","89435630.71240433","268306.89213721297"
"1664409600","83112701.71061051","249338.10513183151"
"1664323200","121117655.08894613","363352.96526683844"
"1664236800","74728763.46026403","224186.29038079205"
"1664150400","62375712.510563664","187127.13753169097"
"1664064000","36862956.92045773","110588.8707613732"
"1663977600","37449517.76058112","112348.55328174337"
"1663891200","101965160.98123106","305895.4829436932"
"1663804800","78943020.01747726","236829.06005243177"
"1663718400","127186080.22229108","381558.24066687323"
"1663632000","69930699.04223906","209792.09712671718"
"1663545600","83739141.86212206","251217.42558636618"
"1663459200","55816667.03995198","167450.00111985594"
"1663372800","27230983.33990384","81692.95001971153"
"1663286400","57953819.760272585","173861.45928081774"
"1663200000","112005466.54592635","336016.39963777905"
"1663113600","69800432.07081749","209401.29621245243"
"1663027200","136732478.59784192","410197.4357935258"
"1662940800","67209143.1207742","201627.42936232258"
"1662854400","39209739.909942165","117629.21972982648"
"1662768000","40725407.61047085","122176.22283141254"
"1662681600","66231275.4798486","198693.82643954578"
"1662595200","79864330.82574645","239592.9924772393"
"1662508800","81849978.19336152","245549.93458008455"
"1662422400","101604072.37884666","304812.21713654"
"1662336000","39499809.30767305","118499.42792301916"
"1662249600","23637944.037872367","70913.8321136171"
"1662163200","30683027.809082944","92049.08342724883"
"1662076800","92264096.72400711","276792.29017202137"
"1661990400","74032960.58216465","222098.88174649395"
"1661904000","103370441.55226542","310111.32465679623"
